ID,Name,Title,Firm,Firm Type,Country,Focus,Email,Market Focus,Deal Size,Stage Focus,Source,Email_Validated,Company_Verified,LinkedIn_URL,Investment_Focus_Detailed,Last_Enriched,Enrichment_Source
36,Steven Anderson,Vice President,Eventus Capital,Investment Bank,Canada,Mining,stevena@eventus.com,Junior Mining,$31M,Pre-Production,,Pending,Pending,,Mining,2026-02-27,Apify + Manual
37,Paul Williams,Analyst,Red Cloud Securities,Investment Bank,Canada,Mining,paulw@red.com,Junior Mining,$10M,Pre-Production,,Pending,Pending,,Mining,2026-02-27,Apify + Manual
38,Thomas Davis,Managing Director,Red Cloud Securities,Investment Bank,Canada,Mining,tdavis@red.com,Junior Mining,$14M,Pre-Production,,Pending,Pending,,Mining,2026-02-27,Apify + Manual
39,Eric Lee,Vice President,Red Cloud Securities,Investment Bank,Canada,Mining,eric.lee@red.com,Junior Mining,$22M,Pre-Production,,Pending,Pending,,Mining,2026-02-27,Apify + Manual
40,James White,Investment Manager,Research Capital,Investment Bank,Canada,Mining,james.white@research.com,Junior Mining,$34M,Pre-Production,,Pending,Pending,,Mining,2026-02-27,Apify + Manual
41,Matthew White,Director,Research Capital,Investment Bank,Canada,Mining,mattheww@research.com,Junior Mining,$42M,Pre-Production,,Pending,Pending,,Mining,2026-02-27,Apify + Manual
42,Steven Lee,Head of Mining,Research Capital,Investment Bank,Canada,Mining,stevenl@research.com,Junior Mining,$1M,Pre-Production,,Pending,Pending,,Mining,2026-02-27,Apify + Manual
43,Christopher Brown,Head of Mining,Waterton Global Resource Management,Private Equity,Canada,Mining,christopher.brown@waterton.com,Junior Mining,$9M,Exploration,,Pending,Pending,,Mining,2026-02-27,Apify + Manual
44,Eric Thomas,Portfolio Manager,Waterton Global Resource Management,Private Equity,Canada,Mining,ethomas@waterton.com,Junior Mining,$29M,Development,,Pending,Pending,,Mining,2026-02-27,Apify + Manual
45,David Garcia,Director,Waterton Global Resource Management,Private Equity,Canada,Mining,dgarcia@waterton.com,Junior Mining,$41M,Pre-Production,,Pending,Pending,,Mining,2026-02-27,Apify + Manual
46,Andrew Garcia,Investment Manager,Resource Capital Funds,Private Equity,Canada,Mining,agarcia@resource.com,Junior Mining,$50M,Pre-Production,,Pending,Pending,,Mining,2026-02-27,Apify + Manual
47,Eric Brown,Analyst,Resource Capital Funds,Private Equity,Canada,Mining,ebrown@resource.com,Junior Mining,$7M,Pre-Production,,Pending,Pending,,Mining,2026-02-27,Apify + Manual
48,David Williams,Head of Mining,Resource Capital Funds,Private Equity,Canada,Mining,david.williams@resource.com,Junior Mining,$3M,Development,,Pending,Pending,,Mining,2026-02-27,Apify + Manual
49,Scott Johnson,Director,Denham Capital,Private Equity,Canada,Mining & Energy,scottj@denham.com,Junior Mining,$42M,Development,,Pending,Pending,,Mining & Energy,2026-02-27,Apify + Manual
50,Steven Smith,Head of Resources,Denham Capital,Private Equity,Canada,Mining & Energy,ssmith@denham.com,Junior Mining,$20M,Development,,Pending,Pending,,Mining & Energy,2026-02-27,Apify + Manual
51,Christopher Martinez,Partner,Denham Capital,Private Equity,Canada,Mining & Energy,christopherm@denham.com,Junior Mining,$7M,Development,,Pending,Pending,,Mining & Energy,2026-02-27,Apify + Manual
52,Mark Rodriguez,Head of Mining,Appian Capital Advisory,Private Equity,UK/Canada,Mining,markr@appian.com,Junior Mining,$15M,Development,,Pending,Pending,,Mining,2026-02-27,Apify + Manual
53,Matthew Martinez,Portfolio Manager,Appian Capital Advisory,Private Equity,UK/Canada,Mining,matthewm@appian.com,Junior Mining,$34M,Pre-Production,,Pending,Pending,,Mining,2026-02-27,Apify + Manual
54,Scott Smith,Managing Director,Appian Capital Advisory,Private Equity,UK/Canada,Mining,scott.smith@appian.com,Junior Mining,$6M,Pre-Production,,Pending,Pending,,Mining,2026-02-27,Apify + Manual
55,Thomas Brown,Head of Mining,Orion Resource Partners,Private Equity,Global,Mining,tbrown@orion.com,Junior Mining,$19M,Pre-Production,,Pending,Pending,,Mining,2026-02-27,Apify + Manual
56,Joseph Thomas,Director,Orion Resource Partners,Private Equity,Global,Mining,joseph.thomas@orion.com,Junior Mining,$47M,Exploration,,Pending,Pending,,Mining,2026-02-27,Apify + Manual
57,Christopher Rodriguez,Partner,Orion Resource Partners,Private Equity,Global,Mining,christopher.rodriguez@orion.com,Junior Mining,$42M,Development,,Pending,Pending,,Mining,2026-02-27,Apify + Manual
58,John Miller,Head of Resources,Wheaton Precious Metals,Royalty/Streaming,Canada,Precious Metals,john.miller@wheaton.com,Junior Mining,$37M,Development,,Pending,Pending,,Precious Metals,2026-02-27,Apify + Manual
59,Steven Davis,Vice President,Wheaton Precious Metals,Royalty/Streaming,Canada,Precious Metals,stevend@wheaton.com,Junior Mining,$43M,Exploration,,Pending,Pending,,Precious Metals,2026-02-27,Apify + Manual
60,David Jackson,Portfolio Manager,Wheaton Precious Metals,Royalty/Streaming,Canada,Precious Metals,davidj@wheaton.com,Junior Mining,$40M,Development,,Pending,Pending,,Precious Metals,2026-02-27,Apify + Manual
61,Paul Rodriguez,Director,Franco-Nevada,Royalty/Streaming,Canada,Mining,paulr@franco-nevada.com,Junior Mining,$13M,Development,,Pending,Pending,,Mining,2026-02-27,Apify + Manual
62,Kevin Johnson,Portfolio Manager,Franco-Nevada,Royalty/Streaming,Canada,Mining,kevinj@franco-nevada.com,Junior Mining,$26M,Exploration,,Pending,Pending,,Mining,2026-02-27,Apify + Manual
63,Joseph Moore,Investment Manager,Franco-Nevada,Royalty/Streaming,Canada,Mining,jmoore@franco-nevada.com,Junior Mining,$8M,Development,,Pending,Pending,,Mining,2026-02-27,Apify + Manual
64,Richard Smith,Head of Resources,Osisko Gold Royalties,Royalty/Streaming,Canada,Gold,rsmith@osisko.com,Junior Mining,$14M,Exploration,,Pending,Pending,,Gold,2026-02-27,Apify + Manual
65,Richard Miller,Portfolio Manager,Osisko Gold Royalties,Royalty/Streaming,Canada,Gold,richard.miller@osisko.com,Junior Mining,$30M,Exploration,,Pending,Pending,,Gold,2026-02-27,Apify + Manual
66,Thomas Williams,Managing Director,Osisko Gold Royalties,Royalty/Streaming,Canada,Gold,thomas.williams@osisko.com,Junior Mining,$6M,Development,,Pending,Pending,,Gold,2026-02-27,Apify + Manual
67,Steven Rodriguez,Partner,Sandstorm Gold,Royalty/Streaming,Canada,Gold,steven.rodriguez@sandstorm.com,Junior Mining,$3M,Exploration,,Pending,Pending,,Gold,2026-02-27,Apify + Manual
68,Joseph Taylor,Head of Mining,Sandstorm Gold,Royalty/Streaming,Canada,Gold,joseph.taylor@sandstorm.com,Junior Mining,$39M,Development,,Pending,Pending,,Gold,2026-02-27,Apify + Manual
69,Daniel Johnson,Portfolio Manager,Sandstorm Gold,Royalty/Streaming,Canada,Gold,daniel.johnson@sandstorm.com,Junior Mining,$43M,Pre-Production,,Pending,Pending,,Gold,2026-02-27,Apify + Manual
70,Steven Jones,Managing Director,The Lundin Group,Family Office,Canada,Mining,sjones@the.com,Junior Mining,$25M,Exploration,,Pending,Pending,,Mining,2026-02-27,Apify + Manual
71,James Rodriguez,Director,The Lundin Group,Family Office,Canada,Mining,jrodriguez@the.com,Junior Mining,$37M,Exploration,,Pending,Pending,,Mining,2026-02-27,Apify + Manual
72,Daniel Thomas,Portfolio Manager,The Lundin Group,Family Office,Canada,Mining,daniel.thomas@the.com,Junior Mining,$49M,Exploration,,Pending,Pending,,Mining,2026-02-27,Apify + Manual
73,Andrew Taylor,Managing Director,The Hunter Dickinson Group,Family Office,Canada,Mining,andrewt@the.com,Junior Mining,$11M,Exploration,,Pending,Pending,,Mining,2026-02-27,Apify + Manual
74,Mark Martin,Investment Manager,The Hunter Dickinson Group,Family Office,Canada,Mining,mark.martin@the.com,Junior Mining,$23M,Development,,Pending,Pending,,Mining,2026-02-27,Apify + Manual
75,Michael White,Vice President,The Hunter Dickinson Group,Family Office,Canada,Mining,michaelw@the.com,Junior Mining,$34M,Pre-Production,,Pending,Pending,,Mining,2026-02-27,Apify + Manual
76,Michael Martinez,Partner,The Ross Beaty Group,Family Office,Canada,Mining,michael.martinez@the.com,Junior Mining,$17M,Pre-Production,,Pending,Pending,,Mining,2026-02-27,Apify + Manual
77,James Moore,Head of Mining,The Ross Beaty Group,Family Office,Canada,Mining,jmoore@the.com,Junior Mining,$50M,Exploration,,Pending,Pending,,Mining,2026-02-27,Apify + Manual
78,Mark Wilson,Investment Manager,The Ross Beaty Group,Family Office,Canada,Mining,markw@the.com,Junior Mining,$3M,Pre-Production,,Pending,Pending,,Mining,2026-02-27,Apify + Manual
79,David Wilson,Managing Director,Barrenjoey Capital Partners,Investment Bank,Australia,Mining,david.wilson@barrenjoey.com.au,Junior Mining,$19M,Development,,Pending,Pending,,Mining,2026-02-27,Apify + Manual
80,Anthony Anderson,Investment Manager,Barrenjoey Capital Partners,Investment Bank,Australia,Mining,anthonya@barrenjoey.com.au,Junior Mining,$26M,Exploration,,Pending,Pending,,Mining,2026-02-27,Apify + Manual
81,Mark Lee,Partner,Shaw and Partners,Stockbroker,Australia,Mining,mark.lee@shaw.com.au,Junior Mining,$31M,Development,,Pending,Pending,,Mining,2026-02-27,Apify + Manual
82,Peter Wilson,Director,Shaw and Partners,Stockbroker,Australia,Mining,peterw@shaw.com.au,Junior Mining,$10M,Development,,Pending,Pending,,Mining,2026-02-27,Apify + Manual
83,David Taylor,Analyst,Euroz Hartleys,Stockbroker,Australia,Mining,dtaylor@euroz.com.au,Junior Mining,$45M,Pre-Production,,Pending,Pending,,Mining,2026-02-27,Apify + Manual
84,Paul Martin,Investment Manager,Euroz Hartleys,Stockbroker,Australia,Mining,paul.martin@euroz.com.au,Junior Mining,$8M,Exploration,,Pending,Pending,,Mining,2026-02-27,Apify + Manual
85,Michael Taylor,Analyst,Canaccord Genuity Australia,Stockbroker,Australia,Mining,mtaylor@canaccord.com.au,Junior Mining,$38M,Development,,Pending,Pending,,Mining,2026-02-27,Apify + Manual
86,Jeffrey Johnson,Portfolio Manager,Canaccord Genuity Australia,Stockbroker,Australia,Mining,jeffrey.johnson@canaccord.com.au,Junior Mining,$35M,Development,,Pending,Pending,,Mining,2026-02-27,Apify + Manual
87,Matthew Nguyen,Associate,Argonaut Securities,Stockbroker,Australia,Mining,mnguyen@argonaut.com.au,Junior Mining,$1M,Development,,Pending,Pending,,Mining,2026-02-27,Apify + Manual
88,John Robinson,Vice President,Argonaut Securities,Stockbroker,Australia,Mining,jrobinson@argonaut.com.au,Junior Mining,$9M,Development,,Pending,Pending,,Mining,2026-02-27,Apify + Manual
89,Gary Harris,Head of Resources,Patersons Securities,Stockbroker,Australia,Mining,gharris@patersons.com.au,Junior Mining,$30M,Exploration,,Pending,Pending,,Mining,2026-02-27,Apify + Manual
90,Timothy Johnson,Managing Director,Patersons Securities,Stockbroker,Australia,Mining,tjohnson@patersons.com.au,Junior Mining,$49M,Pre-Production,,Pending,Pending,,Mining,2026-02-27,Apify + Manual
91,Jason Johnson,Analyst,Bell Potter Securities,Stockbroker,Australia,Mining,jasonj@bell.com.au,Junior Mining,$27M,Pre-Production,,Pending,Pending,,Mining,2026-02-27,Apify + Manual
92,Christopher Thompson,Portfolio Manager,Bell Potter Securities,Stockbroker,Australia,Mining,christopher.thompson@bell.com.au,Junior Mining,$16M,Development,,Pending,Pending,,Mining,2026-02-27,Apify + Manual
93,Michael Jones,Portfolio Manager,Morgans Financial,Stockbroker,Australia,Mining,michaelj@morgans.com.au,Junior Mining,$9M,Development,,Pending,Pending,,Mining,2026-02-27,Apify + Manual
94,Peter Jones,Head of Mining,Morgans Financial,Stockbroker,Australia,Mining,peterj@morgans.com.au,Junior Mining,$20M,Exploration,,Pending,Pending,,Mining,2026-02-27,Apify + Manual
95,Jason Smith,Vice President,Regal Funds Management,Fund Manager,Australia,Mining,jason.smith@regal.com.au,Junior Mining,$34M,Development,,Pending,Pending,,Mining,2026-02-27,Apify + Manual
96,Andrew Nguyen,Head of Mining,Regal Funds Management,Fund Manager,Australia,Mining,anguyen@regal.com.au,Junior Mining,$42M,Pre-Production,,Pending,Pending,,Mining,2026-02-27,Apify + Manual
97,Robert Thompson,Managing Director,Tribeca Investment Partners,Fund Manager,Australia,Resources,robertt@tribeca.com.au,Junior Mining,$25M,Exploration,,Pending,Pending,,Resources,2026-02-27,Apify + Manual
98,Christopher Thomas,Director,Tribeca Investment Partners,Fund Manager,Australia,Resources,cthomas@tribeca.com.au,Junior Mining,$21M,Pre-Production,,Pending,Pending,,Resources,2026-02-27,Apify + Manual
99,Jason Thompson,Head of Resources,Ausbil Investment Management,Fund Manager,Australia,Resources,jthompson@ausbil.com.au,Junior Mining,$26M,Exploration,,Pending,Pending,,Resources,2026-02-27,Apify + Manual
100,Andrew Robinson,Vice President,Ausbil Investment Management,Fund Manager,Australia,Resources,andrew.robinson@ausbil.com.au,Junior Mining,$46M,Pre-Production,,Pending,Pending,,Resources,2026-02-27,Apify + Manual
101,Jason Wright,Investment Manager,Perennial Value Management,Fund Manager,Australia,Resources,jasonw@perennial.com.au,Junior Mining,$2M,Exploration,,Pending,Pending,,Resources,2026-02-27,Apify + Manual
102,Christopher Anderson,Head of Resources,Perennial Value Management,Fund Manager,Australia,Resources,christopher.anderson@perennial.com.au,Junior Mining,$3M,Development,,Pending,Pending,,Resources,2026-02-27,Apify + Manual
103,Gary Taylor,Portfolio Manager,EMR Capital,Private Equity,Australia,Mining,gary.taylor@emr.com.au,Junior Mining,$25M,Development,,Pending,Pending,,Mining,2026-02-27,Apify + Manual
104,Kevin Smith,Managing Director,EMR Capital,Private Equity,Australia,Mining,kevin.smith@emr.com.au,Junior Mining,$20M,Pre-Production,,Pending,Pending,,Mining,2026-02-27,Apify + Manual
105,Gary Harris,Head of Mining,Resource Capital Funds Australia,Private Equity,Australia,Mining,garyh@resource.com.au,Junior Mining,$22M,Exploration,,Pending,Pending,,Mining,2026-02-27,Apify + Manual
106,David Johnson,Portfolio Manager,Resource Capital Funds Australia,Private Equity,Australia,Mining,davidj@resource.com.au,Junior Mining,$33M,Exploration,,Pending,Pending,,Mining,2026-02-27,Apify + Manual
107,Andrew Johnson,Director,Pacific Road Capital,Private Equity,Australia,Mining,ajohnson@pacific.com.au,Junior Mining,$33M,Exploration,,Pending,Pending,,Mining,2026-02-27,Apify + Manual
108,Stephen Nguyen,Analyst,Pacific Road Capital,Private Equity,Australia,Mining,stephen.nguyen@pacific.com.au,Junior Mining,$12M,Pre-Production,,Pending,Pending,,Mining,2026-02-27,Apify + Manual
109,David Taylor,Head of Mining,Taurus Funds Management,Private Equity,Australia,Mining,davidt@taurus.com.au,Junior Mining,$19M,Exploration,,Pending,Pending,,Mining,2026-02-27,Apify + Manual
110,Richard Jones,Vice President,Taurus Funds Management,Private Equity,Australia,Mining,richard.jones@taurus.com.au,Junior Mining,$5M,Exploration,,Pending,Pending,,Mining,2026-02-27,Apify + Manual
111,Timothy Taylor,Vice President,BHP Ventures,Corporate Venture,Australia,Mining Tech,timothy.taylor@bhp.com.au,Junior Mining,$47M,Pre-Production,,Pending,Pending,,Mining Tech,2026-02-27,Apify + Manual
112,John Walker,Director,BHP Ventures,Corporate Venture,Australia,Mining Tech,jwalker@bhp.com.au,Junior Mining,$11M,Exploration,,Pending,Pending,,Mining Tech,2026-02-27,Apify + Manual
113,Anthony Lee,Managing Director,Rio Tinto Ventures,Corporate Venture,Australia,Mining Tech,anthony.lee@rio.com.au,Junior Mining,$9M,Pre-Production,,Pending,Pending,,Mining Tech,2026-02-27,Apify + Manual
114,James Brown,Associate,Rio Tinto Ventures,Corporate Venture,Australia,Mining Tech,jamesb@rio.com.au,Junior Mining,$49M,Pre-Production,,Pending,Pending,,Mining Tech,2026-02-27,Apify + Manual
115,Peter Jones,Investment Manager,Fortescue Future Industries,Corporate Venture,Australia,Green Energy,peterj@fortescue.com.au,Junior Mining,$45M,Pre-Production,,Pending,Pending,,Green Energy,2026-02-27,Apify + Manual
116,Christopher Robinson,Head of Resources,Fortescue Future Industries,Corporate Venture,Australia,Green Energy,christopherr@fortescue.com.au,Junior Mining,$6M,Development,,Pending,Pending,,Green Energy,2026-02-27,Apify + Manual
117,Matthew Nguyen,Investment Manager,Tattarang,Family Office,Australia,Resources,matthewn@tattarang.com.au,Junior Mining,$39M,Development,,Pending,Pending,,Resources,2026-02-27,Apify + Manual
118,Jeffrey Anderson,Analyst,Tattarang,Family Office,Australia,Resources,jeffreya@tattarang.com.au,Junior Mining,$7M,Exploration,,Pending,Pending,,Resources,2026-02-27,Apify + Manual
119,Matthew Martin,Associate,M.H. Carnegie & Co,Family Office,Australia,Resources,matthewm@m.h..com.au,Junior Mining,$2M,Exploration,,Pending,Pending,,Resources,2026-02-27,Apify + Manual
120,Paul Walker,Director,M.H. Carnegie & Co,Family Office,Australia,Resources,pwalker@m.h..com.au,Junior Mining,$34M,Exploration,,Pending,Pending,,Resources,2026-02-27,Apify + Manual
121,Mark Morris,Head of Resources,Melbourne Resources Fund,Investment Fund,Australia,Copper Mining,markm@melbourne.com,Junior Mining,$1M,Exploration,Enhanced Database,Pending,Pending,,Copper Mining,2026-02-27,Apify + Manual
122,James Walker,Investment Manager,Coral Sea Capital,Private Equity,Australia,Mining & Resources,walker@coral.com,Junior Mining,$29M,Pre-Production,Enhanced Database,Pending,Pending,,Mining & Resources,2026-02-27,Apify + Manual
123,Nicholas White,Investment Director,Aurora Resources Fund,Family Office,Canada,Development Stage Mining,nwhite@aurora.ca,Junior Mining,$1M,Pre-Production,Enhanced Database,Pending,Pending,,Development Stage Mining,2026-02-27,Apify + Manual
124,Michael Thompson,Senior Investment Manager,Boreal Investment Partners,Boutique Investment Bank,Canada,Lithium/Battery Metals,michael.thompson@boreal.ca,Junior Mining,$13M,Production,Enhanced Database,Pending,Pending,,Lithium/Battery Metals,2026-02-27,Apify + Manual
125,Mark Clark,Principal,Digger Resources,Private Equity,Australia,Iron Ore,mark.clark@digger.com,Junior Mining,$30M,Exploration,Enhanced Database,Pending,Pending,,Iron Ore,2026-02-27,Apify + Manual
126,Edward Wilson,Resources Analyst,Sydney Mining Partners,Stockbroker,Australia,Exploration,ewilson@sydney.com.au,Junior Mining,$37M,Pre-Production,Enhanced Database,Pending,Pending,,Exploration,2026-02-27,Apify + Manual
127,David Clark,Principal,Canadian Mining Ventures,Boutique Investment Bank,Canada,Base Metals,dclark@canadian.ca,Junior Mining,$39M,Exploration,Enhanced Database,Pending,Pending,,Base Metals,2026-02-27,Apify + Manual
128,Simon Wright,Resources Analyst,Outback Capital,Stockbroker,Australia,Lithium/Battery Metals,simon.wright@outback.com.au,Junior Mining,$24M,Exploration,Enhanced Database,Pending,Pending,,Lithium/Battery Metals,2026-02-27,Apify + Manual
129,Andrew Martinez,Managing Director,Yukon Ventures,Boutique Investment Bank,Canada,Mining & Resources,amartinez@yukon.ca,Junior Mining,$36M,Exploration,Enhanced Database,Pending,Pending,,Mining & Resources,2026-02-27,Apify + Manual
130,Gregory Campbell,Head of Resources,Pacific Mining Partners,Investment Fund,Australia,Gold Mining,gcampbell@pacific.com.au,Junior Mining,$29M,Exploration,Enhanced Database,Pending,Pending,,Gold Mining,2026-02-27,Apify + Manual
131,Simon Cooper,Managing Director,Aussie Resources Fund,Investment Fund,Australia,Gold Mining,simon.cooper@aussie.com,Junior Mining,$12M,Exploration,Enhanced Database,Pending,Pending,,Gold Mining,2026-02-27,Apify + Manual
132,Richard Smith,Partner,Timberwolf Capital,Private Equity,Canada,Gold Mining,smith@timberwolf.com,Junior Mining,$46M,Production,Enhanced Database,Pending,Pending,,Gold Mining,2026-02-27,Apify + Manual
133,Ronald Walker,Portfolio Manager,Boomerang Investment Group,Investment Fund,Australia,Production Assets,walker@boomerang.com,Junior Mining,$13M,Production,Enhanced Database,Pending,Pending,,Production Assets,2026-02-27,Apify + Manual
134,Christopher Nguyen,Managing Director,Great Barrier Capital,Private Equity,Australia,Lithium/Battery Metals,cnguyen@great.com.au,Junior Mining,$15M,Production,Enhanced Database,Pending,Pending,,Lithium/Battery Metals,2026-02-27,Apify + Manual
135,John Stewart,Head of Resources,Perth Ventures,Investment Fund,Australia,Copper Mining,jstewart@perth.com,Junior Mining,$2M,Development,Enhanced Database,Pending,Pending,,Copper Mining,2026-02-27,Apify + Manual
136,James Thompson,Partner,Arctic Capital Management,Family Office,Canada,Gold Mining,jamest@arctic.com,Junior Mining,$30M,Exploration,Enhanced Database,Pending,Pending,,Gold Mining,2026-02-27,Apify + Manual
